21343,174
2900 4 4407,175
7 6991,176
6158,177
22471 29588,178
9879,179
27705,180
20328,181
7 34095,182
17175,183
14393 4 10546,184
7 9396,185
1154,186
1045 7,187
8 11496,188
577 1650,189
1873 4 33431 7,190
17047 11166,191
1521,192
3344,193
57842,194
13544 15 903 16,195
1014,196
89 5456 4 6555,197
2910,198
56585,199
7 3791,200
12176 4904 107,201
3487,202
58300,203
657,204
44896,205
6725 4904 107,206
206,207
1197 1683 4 5033,208
5514 4 5832,209
7 5091 6693,210
3372,211
863 4 1534,212
10367,213
2014,214
5167,215
443,216
6265,217
3273,218
2576,219
173 2181,220
1057,221
2880 4 5616,222
5021 4 6333,223
19008,224
7 17202,225
20997,226
175018,227
1873,228
825 2261,229
11358,230
17589 578 27718,231
16643 4 26069,232
51158 4 8473,233
6368 19429 946,234
833 1440 946,235
47458 4 2087 24221 16759,236
3523,237
6610 11393,238
69744,239
1201 7655,240
11144,241
16124 3654 4 22659,242
68167,243
582 1028 1454,244
2961,245
2768,246
28813 4 81998,247
5040 24585 4 43263,248
1045 65 5040 24585 4 57337,249
10307 4 32369,250
7 21264 697,251
931 31416,252
6449 931 4 6641,253
13206 880 931 4 38747,254
9879 697,255
10942 931,256
4808 2642 13330 697,257
3 4142,258
2642 697 7,259
41213 821 52415 10942 697 7,260
4192 697,261
17255 3373 65 10942 697 7,262
15399 697 7,263
786 38250,264
13520 4 2152 55 4 27590,265
21255,266
19847 4 11647 19234 2527,267
36955,268
209 4 4853 2269,269
577 37790 14467,270
29597 4 6007 2269,271
7689 2527,272
931 16477,273
17634 7762,274
75130 7,275
22603 4 23374,276
1227,277
78279,278
64422 4 25784,279
43315 4 2724 43315,280
8258 6047,281
54365,282
2269 7,283
1622 7,284
1992,285
7,286
5999,287
12778,288
13,289
102294,290
2084 4 52237,291
1950 4 1260,292
765 4 985,293
5061,294
2940,295
2244,296
7,297
789,298
720,299
5360 4 6501,300
8239,301
13,302
396,303
7 76,304
16252,305
3835,306
448,307
24435,308
35337 4 593,309
1471,310
3025,311
2637 4 561,312
31 5622 4 6285,313
18336 4 11686,314
3321,315
2337,316
2782,317
638,318
4154,319
2827,320
7 645 65,321
4422,322
2907,323
7,324
55361,325
17425,326
76907,327
659,328
5236 4 4758,329
2132 2583,330
2121 4 1967,331
34125,332
9285,333
6683,334
6334,335
1815 126 37122,336
1815,337
7 17726,338
638 126 1518,339
47612,340
415,341
4818,342
8880,343
6554,344
2036,345
1029,346
3443 4 2438 4 3351,347
96158,348
13222 6046 4 4131 3004,349
9644 3376 3004,350
9131 3376 3004,351
2325 4 193 3376 3004,352
15816 4 384 9,353
7 2365 11500,354
4009 2520 235,355
3004 1470,356
73 4 6625,357
2416 4 1760 4 2492,358
2712 2934,359
3904,360
6579,361
3333,362
17464,363
2765,364
2310,365
1761 4 349 422,366
6542,367
1199,368
3898 2390,369
1861,370
23586,371
9138,372
5731,373
2681,374
61 815 4 615 393,375
15425,376
13561,377
7 937 4323,378
7,379
2991,380
774,381
7304,382
2642 804 578 98500,383
817 4 1307 4 1826 4 1720,384
7826 4 6936,385
6552,386
25225,387
18050,388
1652,389
6580 4 4894,390
1581 6208 20,391
435,392
870,393
3503 4 360,394
548 4 1831,395
4449 4 4182,396
1419,397
3549 4 5428,398
3727,399
2500,400
2729,401
25980,402
16335,403
3772 4 3842 4 3555,404
9785,405
15658 8,406
582 899,407
969 899,408
1341 4 3556 931,409
2233 95,410
4830 4 6244,411
62542 4 30165 3392 107,412
2693,413
5328,414
20220,415
10430 4 10688,416
13259 4 15361,417
7 1833,418
21334 4 413,419
110 33655 4 33485,420
5580 3037 101,421
3541 4 4924 4 7318,422
7904,423
26938 4 33894,424
2881 4 2660 4 3890,425
10583 4 1091,426
641 4 1930,427
7 124,428
7478,429
433,430
19128 4 22183,431
8566,432
95621,433
10242,434
10450 4 1371 931,435
931 35952,436
51158 931,437
622 931,438
9685 4 92 931,439
880 931,440
1918,441
15648,442
21341 4 26249 946,443
1222 7,444
9856 946,445
5586 4 18288 4 1632,446
142206 946,447
6377,448
13023,449
5765 8327 3805,450
14432 1447 699 49716,451
880 27667,452
48649 24487,453
15247,454
880 7197,455
363404 4142,456
2642 268 878 2024 5116 699 7973,457
29731 4142,458
3 4142,459
4808 63906 2024 157992,460
707 697 8,461
7 938 2024,462
1255,463
3624,464
8508,465
34028,466
9918,467
11906,468
12949 4 5465 76,469
7 76,470
5272 4 1194,471
2128 4 4500,472
7 20324,473
424,474
4680,475
24248 76,476
32091,477
7645,478
26542 4 8759 324,479
1470 4 841 86 8567,480
6138,481
3775 1266 482 100 324,482
143 190 8567,483
268 66385 4 19414,484
912 4 1109,485
5569 15 903 16,486
14697,487
12273 4 3059,488
48742,489
355,490
22487 23036,491
9772 4 14169,492
152 449 4 6074 6263,493
7 230 210,494
230 912 4 1109,495
489 4 1738,496
95371 55,497
25804,498
7 1833 9,499
119078 4 126434,500
7 1923 937,501
7340 15 903 16,502
4924 15 903 16,503
878 40224 15 903 16,504
2003 946,505
7 95 268,506
14600,507
4110,508
2714 4 2699,509
13215,510
9292 9,511
8539 4 9324,512
3672,513
8 12581,514
68473,515
25947,516
1164,517
8211,518
446 4 1511,519
1964 4 4354,520
11347 74,521
103527,522
3232,523
3282,524
3083,525
18465,526
38744,527
5771,528
3645,529
2903 4 17425,530
138,531
453,532
66076,533
274 2173,534
4122,535
274 7997,536
10097 8691,537
11215,538
53244,539
14843 4 15628,540
5831,541
13013,542
22136 262,543
1239,544
172527,545
937,546
112367,547
11304 114 3271 58,548
10968,549
2451,550
6462 9476,551
8976,552
6790,553
4771,554
14601,555
11632,556
9476 1208,557
23 4394,558
5680,559
6663,560
11483,561
5737 5599 1470,562
2735 1470,563
18300,564
2439,565
2008 4 2046,566
8105,567
2351 2495,568
1874,569
9967,570
24392,571
5792 4 6053 439,572
3046 7125,573
9292 1208,574
1393,575
6467 4 8883,576
69295,577
123,578
3968,579
10821 4 857,580
7 262,581
8 137 4 283 405 101,582
34961 642,583
4495,584
1433,585
2809,586
12208 4 5572 2150,587
7 58659,588
3171,589
13741 262,590
3109 4 3501 1098,591
7607,592
12042,593
483 2329 2517,594
7733 11012,595
71589,596
11726 114 9,597
39107,598
115 3627 101,599
106749,600
8995,601
45961,602
5921 4 8876 74,603
3267 4 3134,604
8 622 1069,605
10553 4 694 965,606
23931,607
8522,608
108710 4 27463,609
591,610
192 66 544,611
2265,612
831,613
17677 2894 15 79785 578 18117 16,614
15021 4 12495,615
